FisheryFineID,RegTypeID,Finescale_name,finescale_description,FisheryCoarseID,Coarse_description,ERA_fishery_id,ERA_fishery_name,country,fishery_type
2221,,TBC TAK FN,BC TERMINAL TAKU FRESHWATER NET,187,"BC Stikine Freshwater Net
BC Stikine Freshwater Net",77,TCAN TBR N,Canada,terminal
2301,,WA JDF N,WA JUAN DE FUCA NET,93,Washington Juan De Fuca Net,27,US JF N,US,pre-terminal
2302,,TWA JDF N,WA JUAN DE FUCA TERMINAL NET,94,Washington Juan De Fuca Freshwater Net,38,TPS FN,US,terminal
2303,,WA SJ N,WA SAN JUAN NET,95,San Juans Net,25,PGSDN N,US,pre-terminal
2304,,TWA SJ N,WA SAN JUAN TERMINAL NET,96,San Juans Terminal Net,26,TPGSDN TERM N,US,terminal
2305,,NK/SAM N,WA NOOKSACK/SAMISH NET,99,Nooksack/Samish Net,25,PGSDN N,US,pre-terminal
2306,,TNK/SAM N,WA NOOKSACK/SAMISH TERMINAL NET,100,Nooksack/Samish Terminal Net,26,TPGSDN TERM N,US,terminal
2308,,SKG N,WA SKAGIT NET,102,Skagit Net,28,PGSDO N,US,pre-terminal
2309,,TSKG N,WA SKAGIT TERMINAL NET,103,Skagit Terminal Net,29,TPGSDO TERM N,US,terminal
2310,,TSKG FN,WA SKAGIT FRESHWATER NET,104,Skagit Freshwater Net,38,TPS FN,US,terminal
2311,,6B-9 N,WA PS AREAS 6B AND 9 NET,105,Puget Sound Area 6b-9 Net,28,PGSDO N,US,pre-terminal
2312,,T6B-9 N,WA PS AREAS 6B AND 9 TERMINAL NET,106,Puget Sound Area 6b-9 Terminal Net,29,TPGSDO TERM N,US,terminal
2313,,STL/SNO N,WA PS STILLY/SNO NET,107,Stillaguamish/Snohomish Net,28,PGSDO N,US,pre-terminal
2314,,TSTL/SNO N,WA PS STILLY/SNO TERMINAL NET,108,Stillaguamish/Snohomish Terminal Net,29,TPGSDO TERM N,US,terminal
2315,,PS 10-11-13 N,WA PS AREAS 10-11-13 NET,109,Puget Sound Area 10-11-13 Net,28,PGSDO N,US,pre-terminal
2316,,TPS 10-11-13 N,WA PS AREAS 10-11-13 TERMINAL NET,110,Puget Sound Area 10-11-13 Terminal Net,29,TPGSDO TERM N,US,terminal
2318,,HC N,WA HOOD CANAL (AREA 12) NET,112,Hood Canal (Area 12) Net,28,PGSDO N,US,pre-terminal
2319,,THC N,WA HOOD CANAL (AREA 12) TERMINAL NET,113,Hood Canal (Area 12) Terminal Net,29,TPGSDO TERM N,US,terminal
2320,,THC FN,WA HOOD CANAL (AREA 12) FRESHWATER NET,114,Hood Canal (Area 12) Freshwater Net,38,TPS FN,US,terminal
2321,,WA CST N,WASHINGTON COAST NET,115,Washington Coast Net,30,WA CST N,US,pre-terminal
2322,,TWA NCST FN,WASHINGTON NORTH COAST FRESHWATER NET,116,Washington North Coast Freshwater Net,39,TWAC FN,US,terminal
2323,,WA GH N,GRAYS HARBOR BAY NET,117,Grays Harbor Bay Net,30,WA CST N,US,pre-terminal
2324,,TWA GH FN,GRAYS HARBOR FRESHWATER NET,118,Grays Harbor Freshwater Net,39,TWAC FN,US,terminal
2325,,WA WB N,WILLAPA BAY NET,119,Willapa Bay Net,30,WA CST N,US,pre-terminal
3101,,AK SE SP,ALASKA SE QUADRANT SPORT,124,Alaska Southeast Sport,44,ALASKA S,US,pre-terminal
3102,,AK SW SP,ALASKA SW QUADRANT SPORT,124,Alaska Southeast Sport,44,ALASKA S,US,pre-terminal
3103,,AK NE SP,ALASKA NE QUADRANT SPORT,124,Alaska Southeast Sport,44,ALASKA S,US,pre-terminal
3104,,AK NW SP,ALASKA NW QUADRANT SPORT,124,Alaska Southeast Sport,44,ALASKA S,US,pre-terminal
3105,,TSTIKINE S,STIKINE RIVER TERMINAL SPORT,126,Stikine River Terminal Sport,69,TBR TERM S,US,terminal
3106,,AK KN TSP,KETCHIKAN TERMINAL SPORT,127,Alaska Southeast Terminal Sport,68,TAK TERM S,US,terminal
3107,,AK NB TSP,NEETS BAY TERMINAL SPORT,127,Alaska Southeast Terminal Sport,68,TAK TERM S,US,terminal
3108,,AK WN TSP,WRANGELL NARROWS TERM. SPORT,127,Alaska Southeast Terminal Sport,68,TAK TERM S,US,terminal
3109,,AK BS TSP,BLIND SLOUGH TERMINAL SPORT,127,Alaska Southeast Terminal Sport,68,TAK TERM S,US,terminal
3110,,AK JN TSP,JUNEAU TERMINAL SPORT,127,Alaska Southeast Terminal Sport,68,TAK TERM S,US,terminal
